Index,Field,Merge,Type,Compute,Useful,Main,Example,Note
MEDIA,_id,,,,,,8414113629,
MEDIA,_index,,,,,,media,
MEDIA,_score,,,,,,-,
MEDIA,annotations.title,,,,,,,
MEDIA,annotations.url,,,,,,,
MEDIA,areas_of_action,,,,,,,
MEDIA,authors.isAgency,,boolean,,,,FALSE,
MEDIA,authors.name,,string,,x,AUTHOR,Ruth King,
MEDIA,authors.type,,string,,,,author,
MEDIA,authors.uri,,email,,,,ruth_king@ruthfullyyours.com,
MEDIA,body,,long string,,x,ABSTRACT,"Hamas and the Immorality of the ""Decolonial"" Intellectuals by Alex Joffe and Asaf Romirowsky

Posted By Ruth King on October 15th, 2023

https://nationalinterest.org/feature/hamas-and-immorality-decolonial-intellectuals-206933

Left-wing intellectual fads aligned with horrific terrorism do not belong in higher education.

Intellectuals have a deep addiction to terror. From the French revolutionaries of the late 18th century who invoked Jean Jacques Rousseau to the physician ideologues of ISIS like Ayman al-Zawahiri, intellectuals have been at the forefront of justifying and instigating mass violence.",
MEDIA,categories.label,,class,,x,CATEGORIES,"[dmoz/Society/Issues/Economic, news/Business]",
MEDIA,categories.uri,,class,,,,"[dmoz/Society/Issues/Economic, news/Business]",
MEDIA,categories.wgt,,integer,,,,"[100, 100]",
MEDIA,concepts.label.eng,,classes,,,CONCEPT,"[Congreso Futuro, The Thinker, University of Chile, Artificial intelligence, Sculpture, Auguste Rodin, Science, Rector (academia), Popular science, Futurism, Centrism, Intellectual, Latin America, Technology, Singing, Metal, Casa Central de la Universidad de Chile, Juan Manuel de Rosas, Perception, Welfare, Senate of the Republic (Mexico), Chamber of Deputies of Chile, University, Street, Chile]","wikification of ""body""

NOT extract concepts that are Location"
MEDIA,concepts.location.label.eng,,string,,,,"[Russia, Nicaragua, Israel]",
MEDIA,concepts.location.lat,,string of floats,,x,coordinates for map,"[21, 21, 21, 21, 21, 21, 21, 31.922, 2.5, 21, 21, 31.922]",
MEDIA,concepts.location.long,,string of floats,,x,,"[57, 57, 57, 57, 57, 57, 57, 35.203, 112.5, 57, 57, 35.203]",
MEDIA,concepts.location.type,,string,,,,"[country, country, country, country, country, country, country, country, country, country, country, country]",
MEDIA,concepts.location.label.code,,code,,x,LOCATION,"[RUS, NIC, ISR]",
MEDIA,concepts.location.label.eng,,string of institutions,,,,"[Dhofar Governorate, Oman, Muscat, Duqm, Sohar, Salalah, United States, Kuwait,",
MEDIA,concepts.location.lat,,string of floats,,,,"[18, 21, 23, 19, 24, 17, 39, 29, -25, 26, 23, 31, 5, 23, 26, 31]",
MEDIA,concepts.location.long,,string of floats,,,,"[54, 57, 58, 57, 56, 54, -98, 47, 135, 56, 57, 35, 117, 58, 56, 34]",
MEDIA,concepts.location.type,,sring of cats,,,,"[place, country, place, place, place, place, country, country, country, place, place, place, place, place, place, place]",
MEDIA,concepts.score,,integer,,,,"[5, 5, 5, 5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1]",
MEDIA,concepts.type,,sring of cats,,,,"[wiki, loc, wiki, wiki, wiki, wiki, wiki, wiki, wiki, loc, wiki, loc",
MEDIA,concepts.uri,,string of urls,,,,"[http://es.wikipedia.org/wiki/Congreso_Futuro, http://en.wikipedia.org/wiki/The_Thinker, http://en.wikipedia.org/wiki/University_of_Chile, http://en.wikipedia.org/wiki/Artificial_intelligence, http://en.wikipedia.org/wiki/Sculpture, http://en.wikipedia.org/wiki/Auguste_Rodin, http://en.wikipedia.org/wiki/Science, http://en.wikipedia.org/wiki/Rector_(academia), http://en.wikipedia.org/wiki/Popular_science, http://en.wikipedia.org/wiki/Futurism, http://en.wikipedia.org/wiki/Centrism, http://en.wikipedia.org/wiki/Intellectual, http://en.wikipedia.org/wiki/Latin_America, http://en.wikipedia.org/wiki/Technology, http://en.wikipedia.org/wiki/Singing, http://en.wikipedia.org/wiki/Metal, http://es.wikipedia.org/wiki/Casa_Central_de_la_Universidad_de_Chile, http://en.wikipedia.org/wiki/Juan_Manuel_de_Rosas, http://en.wikipedia.org/wiki/Perception, http://en.wikipedia.org/wiki/Welfare, http://en.wikipedia.org/wiki/Senate_of_the_Republic_(Mexico), http://en.wikipedia.org/wiki/Chamber_of_Deputies_of_Chile, http://en.wikipedia.org/wiki/University, http://en.wikipedia.org/wiki/Street, http://en.wikipedia.org/wiki/Chile]",
MEDIA,dataType,,cat,,,,news,
MEDIA,date,,date,,,DATE,"Dec 28, 2023 @ 01:00:00.000",
MEDIA,dateTime,,date,,,,"Dec 28, 2023 @ 13:46:24.000",
MEDIA,dateTimePub,,date,,,,"Dec 28, 2023 @ 13:42:48.000",
MEDIA,eventUri,,,,,,,
MEDIA,image,,url,,,,https://static.13.cl/7/sites/default/files/styles/manualcrop_890x500/public/programas/articulos/field-imagen/el_pensador_del_futuro-portada.jpg?itok=vGX8qous,
MEDIA,isDuplicate,,boolean,,,,FALSE,
MEDIA,lang,,cat,,,LANG,spa,
MEDIA,location.country.label.eng,,,,,,,
MEDIA,location.country.lat,,,,,,,
MEDIA,location.country.long,,,,,,,
MEDIA,location.country.type,,,,,,,
MEDIA,location.label.eng,,,,,,,
MEDIA,location.lat,,,,,,,
MEDIA,location.long,,,,,,,
MEDIA,location.type,,,,,,,
MEDIA,new_sentiment.compound,,float,,,,0.98,
MEDIA,new_sentiment.neg,,float,,,,0.049,
MEDIA,new_sentiment.neu,,float,,,,0.818,
MEDIA,new_sentiment.pos,,float,,,,0.133,
MEDIA,pilot,,,,,,,
MEDIA,processed_text,,,,,,,
MEDIA,relevance,,integer,,,,21,
MEDIA,resource_type,,,,,,,
MEDIA,SDG,,string,,x,SDG,"[SDG OER2, SDG OER4]",
MEDIA,sentiment,,float,,x,SENTIMENT,0.365,
MEDIA,sim,,,,,,0,
MEDIA,source.dataType,,cat,,,,news,
MEDIA,source.disabled,,,,,,,
MEDIA,source.location.country.label.eng,,name,,,,Chile,
MEDIA,source.location.country.lat,,float,,,,21,
MEDIA,source.location.country.long,,float,,,,57,
MEDIA,source.location.country.type,,cat,,,,country,
MEDIA,source.location.label.eng,,,,,,,
MEDIA,source.location.lat,,,,,,,
MEDIA,source.location.long,,,,,,,
MEDIA,source.location.type,,,,,,,
MEDIA,source.locationValidated,,boolean,,,,FALSE,
MEDIA,source.private,,,,,,,
MEDIA,source.title,,name,,,,Canal 13,
MEDIA,source.uri,,code,,,,13.cl,
MEDIA,time,,time,,,,12:46:24,
MEDIA,title,,name,,,TITLE,"""El Pensador del Futuro"" llega a Casa CEntral",
MEDIA,topics,,,,,,,
MEDIA,type,,,,,,,
MEDIA,uri,,code,,,,7907832774,
MEDIA,url,,url,,,URL,https://www.13.cl/programas/congreso-futuro/noticias/el-pensador-del-futuro-responde-inquietudes-ciudadanas-en-el,
MEDIA,userHasPermissions,,,,,,,
MEDIA,wgt,,float,,,,"441,463,584",
MEDIA,wikifier_concepts.name,,,,,CONCEPTS,"[Chile, University of Chile, Artificial intelligence, Latin America, Auguste Rodin, Sculpture, The Thinker, 19th century]","wikification of ""body""

NOT extract concepts that are Location"
MEDIA,wikifier_concepts.url,,,,,,,
MEDIA,year,,integer,,,YEAR,2023,
SCIENCE,id,,,,,Record ID given by openAlex ID,33958,
SCIENCE,index,,,,,eS Index name,science,
SCIENCE,score,,,,,?,-,
SCIENCE,abstract,,text,,x,ABSTRACT,"Abstract Background Incurable cancer is a major contributor to societal suffering and disability,",
SCIENCE,annotations.title,,,,,,,
SCIENCE,annotations.url,,,,,,,
SCIENCE,authorships.affiliations.institution_ids,,string of urls,,,,"[https://openalex.org/I4432739, https://openalex.org/I4432739, https://openalex.org/I4432739, https://openalex.",
SCIENCE,authorships.affiliations.raw_affiliation_string,,string of institutions,,,AFFILIATIONS,"[Centre for Crisis Psychology, University of Bergen, Bergen, Norway, Centre for Crisis Psychology,",
SCIENCE,authorships.author_position,,,,,,"[first, middle, middle, middle, middle, middle, middle, middle, middle, middle, middle,",
SCIENCE,authorships.author.display_name,,string of names,,x,AUTHORS,"[Marc Vandeputte, Sophie Launey]",
SCIENCE,authorships.author.id,,sting of urls,,,,"[https://openalex.org/A5086786445, https://openalex.org/A5027753824]",
SCIENCE,authorships.author.orcid,,string of urls/orcid,,,,"[https://orcid.org/0000-0003-4098-6508, https://orcid.org/0000-0003-0538-2848,",
SCIENCE,authorships.countries,,country_code,,x,LOCATION,"[FR, FR]",
SCIENCE,authorships.institutions.country_code,,country_code,,,,"[FR, FR]",
SCIENCE,authorships.institutions.display_name,,string of institutions,,x,INSTITUTIONS,"[Fish Physiology and Genomics Institute, Fish Physiology and Genomics Institute]",
SCIENCE,authorships.institutions.id,,string of urls,,,,"[https://openalex.org/I4210141078, https://openalex.org/I4210141078]",
SCIENCE,authorships.institutions.lineage,,string of urls,,,,"[https://openalex.org/I3123023596, https://openalex.org/I4210088668, https://openalex.org/I4210141078, https://openalex.org/I56067802, https://openalex.org/I3123023596, https://openalex.org/I4210088668, https://openalex.org/I4210141078, https://openalex.org/I56067802]",
SCIENCE,authorships.institutions.ror,,string of urls,,,,"[https://ror.org/04xtaw673, https://ror.org/04xtaw673]",
SCIENCE,authorships.institutions.type,,string of categories,,,,"[facility, facility]",
SCIENCE,authorships.is_corresponding,,string of binaries,,,,"[false, false]",
SCIENCE,authorships.raw_affiliation_strings,,string of institutions,,,,"[Unité de recherche Génétique des Poissons, Unité de recherche Génétique des Poissons]",
SCIENCE,authorships.raw_author_name,,string of names,,,,"[Marc Vandeputte, Sophie Launey]",
