SDG,Indicator 1,Indicator 2,Indicator 3,,,
1,Multidimensional poverty headcount ratio,"Multidimensional poverty headcount ratio, children","Multidimensional poverty headcount ratio, female",,,
2,"Agriculture, forestry, and fishing, value added per worker",Capture fisheries production,Total fisheries production,,,
3,"Mortality rate, neonatal",Births attended by skilled health staff,Prevalence of undernourishment,,,
4,Adolescents out of school,Children out of school,"Compulsory education, duration",,,
5,Firms with female top manager,Firms with female participation in ownership,Female share of employment in senior and middle management,,,
6,"Water productivity, total","Renewable internal freshwater resources, total",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,,
7,"Access to electricity, rural","Access to electricity, urban",Renewable electricity output,,,
8,Broad money growth,Bank capital to assets ratio,Coverage of social safety net programs,,,
9,New business density,"Patent applications, nonresidents","Patent applications, CO2 emissions (% GDP)",,,
10,"Tariff rate, applied, simple mean, all products",Tax revenue (% GDP),Proportion of people living below 50 percent of median income,,,
11,"Air transport, freight","Railways, goods transported","PM2.5 air pollution, mean annual exposure",,,
12,Imports of goods and services,"Inflation, consumer prices",General government final consumption expenditure,,,
13,"Adjusted net savings, excluding particulate emission damage","Prevalence of wasting, weight for height",Disaster risk reduction progress score,,,
14,Aquaculture production,Marine protected areas,"Fish species, threatened",,,
15,Forest area (%),Terrestrial protected areas,"Mammal species, threatened",,,
16,Intentional homicides,Bribery incidence,Firms expected to give gifts in meetings with tax officials,,,
17,Average transaction cost of sending remittances from a specific country,Average transaction cost of sending remittances to a specific country,"Foreign direct investment, net inflows (BoP $)",,,
