TOPIC-id,SDG,TOPIC,Keywords
SDG01000,1,SDG 1,"Poverty, Poverty reduction, Poverty threshold, Extreme poverty, Poverty Reduction Strategies, Microfinance, Microcredit, Small business, Child labour, Child Labor Law, Child Support Grant, Child Welfare, Child Labor Regulation, Social protection, Social safety net, Welfare, Welfare spending, Social Exclusion, Financial inclusion, Conditional Cash Transfer, Poverty Alleviation, Economic Resource AND Access, Inclusive Growth, Third World, Low Income, Low Income Population, Third World, Development Assistance Committee, Development Aid, Official Development Assistance, International Development, Human Development Index, Economic inequality, Income inequality metrics, Multidimensional Poverty Index, Cost of poverty, Social insurance, Social inequality, Poverty reduction, Poverty Line, Poverty threshold, Gini index, Universal Basic Income, Global Poverty Line, Sustainable Development Goal 1"
SDG01010,1,Extreme Poverty,"Poverty, Poverty reduction, Poverty threshold, Extreme poverty, Poverty Reduction Strategies"
SDG01011,1,Poverty reduction, "Poverty reduction"
SDG01012,1,Poverty threshold,"Poverty threshold"
SDG01013,1,Extreme poverty,"Extreme poverty"
SDG01020,1,Microfinance,"Microfinance, Microcredit, Small business"
SDG01021,1,Microfinance,"Microfinance"
SDG01022,1,Microcredit,"Microcredit"
SDG01023,1,Small business,"Small business"
SDG01030,1,Child Labour,"Child labour, Child Labor Law, Child Support Grant, Child Welfare, Child Labor Regulations"
SDG01031,1,Child labour, "Child labour"
SDG01032,1,Child Labor Law,"Child Labor Law"
SDG01033,1,Child Welfare, "Child Welfare"
SDG01040,1,Social Protection,"Social protection, Social safety net, Welfare, Welfare spending, Social Exclusion"
SDG01041,1,Social protection, "Social protection"
SDG01042,1,Welfare spending, "Welfare spending"
SDG01043,1,Social Exclusion, "Social Exclusion"
SDG01050,1,Financial Inclusion,"Financial inclusion, Conditional Cash Transfer, Poverty Alleviation, Economic Resource AND Access, Inclusive Growth"
SDG01051,1,Financial inclusion,"Financial inclusion"
SDG01052,1,Conditional Cash Transfer,"Conditional Cash Transfer"
SDG01053,1,Poverty Alleviation,"Poverty Alleviation"
SDG01060,1,Vulnerable Population,"Third World, Low Income, Low Income Population, Vulnerable adult"
SDG01061,1,Third World,"Third World"
SDG01062,1,Low Income Population,"Low Income Population"
SDG01063,1,Vulnerable adult,"Vulnerable adult"
SDG01070,1,Development Aid,"Third World, Development Assistance Committee, Development Aid, Official Development Assistance, International Development, Human Development Index"
SDG01071,1,Development economics,"Development economics"
SDG01072,1,International Development,"International Development"
SDG01073,1,Human Development Index,"Human Development Index"
SDG01080,1,Multidimensional Poverty,"Economic inequality, Income inequality metrics, Multidimensional Poverty Index, Rural poverty, Energy poverty, Culture of poverty"
SDG01081,1,Economic inequality,"Economic inequality"
SDG01082,1,Income inequality metrics,"Income inequality metrics"
SDG01083,1,Multidimensional Poverty Index,"Multidimensional Poverty Index"
SDG01090,1,Cost of Poverty,"Cost of poverty, Social insurance, Social inequality, Poverty reduction"
SDG01091,1,Social insurance,"Social insurance"
SDG01092,1,Social inequality,"Social inequality"
SDG01093,1,Poverty reduction,"Poverty reduction"
SDG01100,1,Poverty Line,"Poverty Line, Poverty threshold, Gini index, Universal Basic Income, Global Poverty Line"
SDG01101,1,Poverty threshold,"Poverty threshold"
SDG01102,1,Gini index,"Gini index"
SDG01103,1,Universal Basic Income,"Universal Basic Income"
SDG02000,2,SDG 2,"Food Bank, Food security, Famine,  Global Food Security Index, Doha Development Round, Food policy, Malnutrition,  nutrients AND deficiency, Underweight, Food desert, Land law, Agricultural productivity, Agroforestry, Biofertilizer, Crop diversity, Sustainable agriculture"
SDG02010,2,Food Security,"Food Bank, Food security, Famine, Global Food Security Index, Doha Development Round, Food policy"
SDG02011,2,Food Bank,"Food Bank"
SDG02012,2,Food security,"Food security"
